
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Steering Kinematics                                             Demo data                                           

   WhlTra  TraRack  WhlAngL  WhlAngR  CamberL KPOffset  TrackCh Ackerman TrackDif SteerDif AckError AckPCent StRodAng TrackDia  TurnDia
     [mm]     [mm]    [deg]    [deg]    [deg]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]      [%]    [deg]      [m]      [m]

    40.00    60.00    17.53    17.45    -1.49    -4.24   -21.81    14.93     2.60     0.08     2.52     2.93    58.46    18.11    18.86
    40.00    70.00    20.59    20.38    -0.51    -4.44   -29.73    17.14     3.45     0.21     3.24     6.05    56.15    15.59    16.40
    40.00     0.00    -0.17     0.17    -5.90    -3.53     0.31     0.17    -0.00     0.34    -0.34 ********    73.58 ******** ********
    40.00   -10.00    -3.05    -2.72    -6.40    -3.37    -0.31    -2.65    -0.07     0.33    -0.40  -437.02    76.33   102.19   102.69
    40.00   -20.00    -5.92    -5.63    -6.85    -3.18    -2.16    -5.32    -0.31     0.29    -0.60   -93.59    79.14    52.69    53.24
    40.00   -30.00    -8.79    -8.56    -7.23    -2.95    -5.24    -7.87    -0.69     0.23    -0.92   -33.12    82.04    35.56    36.16
    40.00   -40.00   -11.66   -11.51    -7.55    -2.67    -9.56   -10.31    -1.21     0.15    -1.35   -12.10    85.01    26.87    27.53
    40.00   -50.00   -14.54   -14.50    -7.82    -2.33   -15.08   -12.66    -1.85     0.04    -1.89    -2.35    88.07    21.63    22.33
    40.00   -60.00   -17.45   -17.53    -8.02    -1.95   -21.81   -14.93    -2.60    -0.08    -2.52     2.93    91.23    18.11    18.86
    40.00   -70.00   -20.38   -20.59    -8.16    -1.51   -29.73   -17.14    -3.45    -0.21    -3.24     6.05    94.49    15.59    16.40
     0.00     0.00    -0.00     0.00    -5.00    -3.44     0.00     0.00    -0.00    -0.00     0.00     0.00    74.48 ******** ********
     0.00    10.00     3.02     3.01    -4.43    -3.58    -0.65     2.93     0.09     0.01     0.08    15.38    71.78   103.55   104.05
     0.00    20.00     6.06     6.00    -3.79    -3.71    -2.60     5.70     0.36     0.06     0.30    15.71    69.14    51.92    52.47
     0.00    30.00     9.12     9.00    -3.08    -3.82    -5.85     8.35     0.78     0.12     0.65    15.97    66.57    34.72    35.32
     0.00    40.00    12.22    12.00    -2.29    -3.94   -10.39    10.87     1.35     0.22     1.13    16.16    64.05    26.12    26.78
     0.00    50.00    15.35    15.02    -1.44    -4.08   -16.20    13.30     2.05     0.33     1.71    16.27    61.60    20.96    21.67
     0.00    60.00    18.52    18.05    -0.51    -4.24   -23.26    15.65     2.87     0.47     2.40    16.26    59.21    17.52    18.29
     0.00    70.00    21.74    21.12     0.50    -4.45   -31.55    17.94     3.80     0.61     3.19    16.12    56.87    15.07    15.88
     0.00     0.00    -0.00     0.00    -5.00    -3.44     0.00     0.00    -0.00    -0.00     0.00     0.00    74.48 ******** ********
     0.00   -10.00    -3.01    -3.02    -5.51    -3.28    -0.65    -2.93    -0.09    -0.01    -0.08    15.38    77.25   103.55   104.05
     0.00   -20.00    -6.00    -6.06    -5.95    -3.08    -2.60    -5.70    -0.36    -0.06    -0.30    15.71    80.09    51.92    52.47
     0.00   -30.00    -9.00    -9.12    -6.32    -2.84    -5.85    -8.35    -0.78    -0.12    -0.65    15.97    83.01    34.72    35.32
     0.00   -40.00   -12.00   -12.22    -6.64    -2.55   -10.39   -10.87    -1.35    -0.22    -1.13    16.16    86.02    26.12    26.78
     0.00   -50.00   -15.02   -15.35    -6.89    -2.22   -16.20   -13.30    -2.05    -0.33    -1.71    16.27    89.11    20.96    21.67
     0.00   -60.00   -18.05   -18.52    -7.07    -1.84   -23.26   -15.65    -2.87    -0.47    -2.40    16.26    92.30    17.52    18.29
     0.00   -70.00   -21.12   -21.74    -7.19    -1.41   -31.55   -17.94    -3.80    -0.61    -3.19    16.12    95.59    15.07    15.88
    -5.00     0.00     0.01    -0.01    -4.93    -3.43    -0.22    -0.01    -0.00    -0.02     0.02     0.00    74.62 ******** ********
    -5.00    10.00     3.05     3.02    -4.35    -3.57    -0.88     2.95     0.09     0.03     0.06    32.77    71.92   103.22   103.72
    -5.00    20.00     6.10     6.03    -3.71    -3.70    -2.85     5.74     0.36     0.07     0.29    20.08    69.28    51.68    52.24
    -5.00    30.00     9.19     9.05    -3.00    -3.81    -6.12     8.40     0.79     0.14     0.65    17.89    66.71    34.54    35.15
    -5.00    40.00    12.30    12.07    -2.21    -3.93   -10.70    10.94     1.36     0.23     1.13    17.21    64.19    25.98    26.64
