
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           Demo data                                           

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
     [mm]     [mm]     [mm]     [mm]     [mm]    [min]    [min]    [deg]    [deg]    [deg]     [mm]     [mm]      [N]      [N]
    -5.00    25.00  -105.91     5.91    -4.65    -2.57     7.45    -4.99    -5.48    -0.62     1.93    18.99     0.00  2001.12
    -5.00    30.00   -71.95     5.31    -8.60    -2.48     9.14    -5.04    -5.60    -0.66     4.70    22.83     0.00  2276.05
    -5.00    35.00   -56.30     4.90   -12.32    -2.32    10.95    -5.09    -5.72    -0.70     7.46    26.63     0.00  2563.19
    -5.00    40.00   -47.06     4.56   -15.96    -2.11    12.89    -5.14    -5.85    -0.73    10.22    30.37     0.00  2862.41
    -5.00     0.00    13.73     5.56     7.80    -0.94     0.45    -4.92    -5.00    -0.13    -4.07    -0.40   336.49   656.70
    -5.00    -5.00    -0.00     5.72    10.20    -0.49    -0.49    -4.93    -4.93    -0.00    -4.45    -4.45   428.59   428.59
    -5.00   -10.00    -7.56     5.83    12.57    -0.06    -1.22    -4.93    -4.86     0.14    -4.80    -8.59   515.83   223.97
    -5.00   -15.00   -11.58     5.88    14.93     0.35    -1.70    -4.93    -4.80     0.28    -5.14   -12.85   597.66    44.20
    -5.00   -20.00   -12.22     5.89    15.57     0.45    -1.79    -4.93    -4.79     0.32    -5.22   -14.02   618.80     0.00
    -5.00   -25.00   -12.22     5.89    15.57     0.45    -1.79    -4.93    -4.79     0.32    -5.22   -14.02   618.80     0.00
    -5.00   -30.00   -12.22     5.89    15.57     0.45    -1.79    -4.93    -4.79     0.32    -5.22   -14.02   618.80     0.00
    -5.00   -35.00   -12.22     5.89    15.57     0.45    -1.79    -4.93    -4.79     0.32    -5.22   -14.02   618.80     0.00
